Brand,Model,Processor,RAM (GB),Storage (GB),Screen Size (inches),Graphics Card,Operating System,Weight (kg),Battery Life (hours),Price ($),Warranty (years)
MSI,Model 64,AMD Ryzen 5,32,1024,15.6,Intel UHD,macOS,1.33,4.8,1917.28,1
HP,Model 65,AMD Ryzen 5,8,1024,15.6,NVIDIA RTX 3070,Windows 11,1.12,12.4,2254.24,2
Lenovo,Model 66,AMD Ryzen 5,16,2048,14.0,NVIDIA RTX 3060,macOS,2.74,7.0,1829.8,2
Dell,Model 67,AMD Ryzen 9,16,1024,13.3,NVIDIA GTX 1650,macOS,3.08,10.1,2081.43,3
Lenovo,Model 68,AMD Ryzen 9,64,512,15.6,AMD Radeon,Windows 11,3.12,11.6,2009.25,1
Acer,Model 69,Intel i5,64,256,17.0,NVIDIA RTX 3070,macOS,2.7,13.7,2096.13,3
HP,Model 70,AMD Ryzen 5,32,1024,17.0,AMD Radeon,Linux,3.39,13.0,1918.21,3
HP,Model 71,AMD Ryzen 7,8,256,13.3,AMD Radeon,Windows 11,2.28,10.3,1817.41,3
Dell,Model 72,Intel i7,32,256,17.0,NVIDIA RTX 3060,Windows 11,3.28,7.7,1968.33,1
HP,Model 73,Intel i9,64,256,14.0,NVIDIA RTX 3070,Windows 10,3.42,9.0,2818.3,3
Asus,Model 74,AMD Ryzen 7,8,1024,15.6,NVIDIA GTX 1650,Windows 10,3.12,12.2,1199.84,1
HP,Model 75,AMD Ryzen 9,8,1024,15.6,NVIDIA RTX 3060,Windows 11,1.77,13.5,2289.59,3
Lenovo,Model 76,AMD Ryzen 9,64,256,15.6,NVIDIA GTX 1650,Windows 11,1.49,4.2,2083.86,3
Lenovo,Model 77,AMD Ryzen 7,16,512,13.3,Intel UHD,Windows 10,2.37,7.6,1250.15,1
MSI,Model 78,AMD Ryzen 9,16,256,17.0,AMD Radeon,Linux,2.13,12.3,2049.46,2
Lenovo,Model 79,AMD Ryzen 5,8,512,14.0,Intel UHD,macOS,3.19,8.2,973.06,3
MSI,Model 80,Intel i5,32,256,13.3,AMD Radeon,macOS,1.25,7.0,1762.45,2
Lenovo,Model 81,Intel i7,16,2048,15.6,NVIDIA RTX 3060,macOS,1.64,7.9,2208.67,3
Asus,Model 82,Intel i5,32,256,14.0,NVIDIA GTX 1650,Windows 11,2.88,10.2,1763.88,2
Razer,Model 83,Intel i7,16,256,15.6,NVIDIA GTX 1650,Linux,1.24,15.0,2206.06,2
MSI,Model 84,Intel i7,16,1024,15.6,NVIDIA RTX 3060,Windows 10,1.8,8.9,2163.83,2
Apple,Model 85,Intel i5,32,512,13.3,NVIDIA RTX 3070,Linux,1.97,5.5,2507.24,2
Acer,Model 86,AMD Ryzen 7,64,2048,15.6,Intel UHD,Linux,2.56,5.0,2021.11,2
Dell,Model 87,Intel i7,16,512,14.0,Intel UHD,macOS,1.4,3.5,1535.61,1
Lenovo,Model 88,Intel i5,16,2048,15.6,NVIDIA GTX 1650,Windows 10,3.15,9.7,1567.24,2
HP,Model 89,Intel i7,32,256,17.0,NVIDIA GTX 1650,Linux,2.12,9.5,1874.09,1
Razer,Model 90,Intel i9,64,1024,15.6,NVIDIA GTX 1650,Windows 10,3.29,5.5,2798.06,3
Lenovo,Model 91,AMD Ryzen 7,16,1024,13.3,NVIDIA RTX 3060,Windows 11,2.17,11.3,1930.6,1
HP,Model 92,AMD Ryzen 5,16,512,14.0,NVIDIA RTX 3070,macOS,1.69,11.9,1870.39,2
Acer,Model 93,Intel i7,64,1024,13.3,Intel UHD,Windows 10,1.35,6.1,1674.95,1
Acer,Model 94,Intel i9,16,512,17.0,AMD Radeon,Windows 11,1.01,7.1,1632.08,2
Acer,Model 95,AMD Ryzen 5,64,512,15.6,NVIDIA RTX 3060,Windows 11,2.33,14.9,1766.57,1
HP,Model 96,AMD Ryzen 5,64,2048,13.3,Intel UHD,Windows 11,1.27,7.5,2146.32,3
Lenovo,Model 97,Intel i7,32,512,13.3,NVIDIA RTX 3070,Linux,1.98,12.1,2170.26,2
Acer,Model 98,Intel i5,8,2048,13.3,NVIDIA RTX 3060,Linux,2.47,8.4,1645.17,2
Asus,Model 99,Intel i7,64,1024,13.3,Intel UHD,macOS,1.69,12.5,1921.31,1
MSI,Model 100,Intel i9,32,512,17.0,NVIDIA RTX 3060,macOS,1.44,12.2,2290.89,1
HP,Model 101,AMD Ryzen 5,8,512,17.0,Intel UHD,Windows 11,2.94,11.0,1270.1,1
HP,Model 102,Intel i7,16,256,15.6,Intel UHD,macOS,3.37,13.3,1446.69,1
Lenovo,Model 103,Intel i5,8,512,15.6,NVIDIA RTX 3070,Linux,1.25,14.3,1651.96,1
HP,Model 104,Intel i7,64,512,14.0,AMD Radeon,macOS,1.39,10.0,2069.01,2
HP,Model 105,AMD Ryzen 7,64,256,17.0,NVIDIA RTX 3070,Windows 10,3.4,5.8,2457.01,3
Acer,Model 106,Intel i5,64,256,13.3,Intel UHD,Linux,1.09,7.8,1727.73,1
Lenovo,Model 107,Intel i9,64,1024,13.3,NVIDIA RTX 3060,Windows 11,3.44,12.1,2431.69,2
Acer,Model 108,AMD Ryzen 5,64,512,14.0,NVIDIA RTX 3070,Windows 11,1.01,10.8,2284.03,3
MSI,Model 109,Intel i7,32,1024,13.3,AMD Radeon,macOS,3.18,5.1,2068.73,3
Razer,Model 110,Intel i5,64,1024,14.0,Intel UHD,Linux,1.77,3.6,1845.98,1
MSI,Model 111,AMD Ryzen 7,32,256,15.6,NVIDIA RTX 3070,Windows 11,3.35,11.2,2366.42,2
Razer,Model 112,Intel i5,16,2048,17.0,NVIDIA RTX 3070,Windows 11,1.79,6.0,2582.63,2
Acer,Model 113,AMD Ryzen 9,64,1024,14.0,NVIDIA RTX 3070,Linux,2.64,9.0,2724.49,2
MSI,Model 114,AMD Ryzen 7,64,2048,13.3,NVIDIA RTX 3070,Linux,1.2,12.0,2918.35,2
Lenovo,Model 115,Intel i9,8,512,14.0,NVIDIA RTX 3060,Windows 11,1.61,9.8,1978.63,2
Dell,Model 116,AMD Ryzen 5,16,256,15.6,AMD Radeon,macOS,2.93,4.0,1520.99,3
Acer,Model 117,Intel i9,64,512,13.3,AMD Radeon,macOS,2.32,5.2,1819.7,3
Razer,Model 118,Intel i7,64,512,15.6,Intel UHD,macOS,3.32,5.6,2578.42,3
Asus,Model 119,Intel i5,16,256,15.6,NVIDIA GTX 1650,Windows 10,2.07,6.1,1529.89,2
Razer,Model 120,AMD Ryzen 9,32,512,14.0,NVIDIA RTX 3060,Linux,3.17,9.8,2706.65,3
Asus,Model 121,AMD Ryzen 7,64,256,15.6,Intel UHD,Windows 11,2.12,9.0,1781.19,3
HP,Model 122,AMD Ryzen 7,8,2048,13.3,Intel UHD,Windows 10,3.45,5.4,1695.62,1
MSI,Model 123,Intel i5,64,512,15.6,NVIDIA RTX 3070,macOS,3.4,3.8,2266.52,3
Asus,Model 124,AMD Ryzen 9,8,256,15.6,NVIDIA GTX 1650,Windows 10,1.82,5.1,1611.13,1
Razer,Model 125,Intel i5,8,1024,14.0,NVIDIA GTX 1650,Windows 11,3.21,14.8,2349.77,2
HP,Model 126,Intel i7,64,512,15.6,NVIDIA RTX 3060,Windows 11,3.12,8.6,2136.42,2
Dell,Model 127,Intel i9,64,2048,17.0,NVIDIA GTX 1650,Linux,1.53,13.4,2594.06,2
Lenovo,Model 128,AMD Ryzen 7,8,256,14.0,Intel UHD,macOS,2.56,13.2,1372.95,2
Lenovo,Model 129,Intel i7,16,512,14.0,NVIDIA GTX 1650,macOS,1.18,9.1,1653.58,3
Lenovo,Model 130,Intel i9,16,512,13.3,NVIDIA GTX 1650,Windows 10,3.09,11.5,1442.1,1
Asus,Model 131,Intel i7,64,512,13.3,AMD Radeon,macOS,1.44,5.3,1966.98,2
Dell,Model 132,AMD Ryzen 9,32,2048,13.3,Intel UHD,Windows 10,1.18,11.3,1922.15,2
Asus,Model 133,AMD Ryzen 7,16,256,13.3,NVIDIA GTX 1650,Windows 11,2.0,6.3,1522.94,1
MSI,Model 134,Intel i5,64,1024,17.0,NVIDIA GTX 1650,Windows 11,2.44,13.0,2120.09,1
Asus,Model 135,Intel i5,16,1024,14.0,NVIDIA RTX 3070,Windows 11,3.14,4.0,1933.49,1
Dell,Model 136,Intel i9,32,1024,15.6,NVIDIA GTX 1650,Windows 11,3.44,12.3,1956.01,1
Dell,Model 137,AMD Ryzen 5,64,256,13.3,NVIDIA GTX 1650,Windows 11,2.1,4.2,1752.09,1
MSI,Model 138,AMD Ryzen 9,32,1024,13.3,AMD Radeon,Windows 10,1.15,13.6,2460.63,3
Dell,Model 139,Intel i9,64,2048,13.3,Intel UHD,Windows 11,2.87,6.7,2041.27,1
Razer,Model 140,AMD Ryzen 5,32,256,15.6,NVIDIA RTX 3060,Windows 10,2.41,10.9,2462.62,3
Dell,Model 141,Intel i7,16,512,13.3,Intel UHD,Windows 11,2.12,8.9,1720.57,1
Lenovo,Model 142,AMD Ryzen 9,16,2048,15.6,NVIDIA RTX 3070,Windows 10,1.77,7.4,1951.28,1
Razer,Model 143,Intel i7,32,512,14.0,Intel UHD,Windows 10,2.26,10.7,2190.6,2
Razer,Model 144,AMD Ryzen 7,32,1024,14.0,NVIDIA GTX 1650,Windows 10,1.85,14.4,2450.58,2
MSI,Model 145,AMD Ryzen 9,32,2048,14.0,NVIDIA RTX 3070,macOS,2.89,3.5,2727.37,2
Apple,Model 146,AMD Ryzen 5,64,256,17.0,Intel UHD,Windows 10,2.36,14.0,2350.46,2
Apple,Model 147,AMD Ryzen 7,16,2048,15.6,NVIDIA RTX 3070,Windows 10,3.19,10.3,2706.03,2
Dell,Model 148,Intel i5,64,512,13.3,NVIDIA RTX 3060,Windows 11,2.36,12.7,2259.19,2
Razer,Model 149,AMD Ryzen 5,16,256,13.3,Intel UHD,Windows 10,1.6,7.6,1781.95,1
Apple,Model 150,Intel i9,8,2048,13.3,NVIDIA GTX 1650,Windows 10,3.13,8.7,2585.07,1
Apple,Model 151,Intel i5,64,2048,13.3,NVIDIA RTX 3070,Linux,2.39,13.4,3222.57,2
Dell,Model 152,Intel i5,16,2048,17.0,AMD Radeon,macOS,1.52,8.0,1712.4,2
Apple,Model 153,Intel i9,16,2048,13.3,NVIDIA RTX 3070,Linux,2.56,9.4,3104.64,2
Asus,Model 154,AMD Ryzen 9,64,256,17.0,AMD Radeon,Windows 11,1.89,3.2,1961.76,1
HP,Model 155,Intel i5,64,512,15.6,NVIDIA GTX 1650,macOS,3.11,4.9,1722.75,2
MSI,Model 156,AMD Ryzen 5,16,2048,14.0,NVIDIA RTX 3060,macOS,2.13,10.7,2550.37,2
HP,Model 157,AMD Ryzen 7,64,256,13.3,AMD Radeon,Linux,2.82,11.6,1953.67,1
Dell,Model 158,Intel i5,32,512,14.0,NVIDIA RTX 3060,macOS,1.24,10.0,1689.5,1
Lenovo,Model 159,AMD Ryzen 5,64,2048,15.6,NVIDIA RTX 3070,Linux,1.99,4.7,2575.58,3
MSI,Model 160,Intel i7,64,512,15.6,NVIDIA GTX 1650,Windows 10,3.46,8.3,2170.7,2
Dell,Model 161,AMD Ryzen 5,64,512,13.3,AMD Radeon,Linux,3.02,7.3,1916.56,1
Razer,Model 162,AMD Ryzen 7,16,256,15.6,NVIDIA RTX 3070,macOS,1.4,8.9,2734.69,3
Lenovo,Model 163,AMD Ryzen 5,32,512,14.0,Intel UHD,macOS,1.69,13.4,1328.1,1
HP,Model 164,Intel i9,8,256,13.3,NVIDIA RTX 3070,Windows 11,1.82,12.3,2379.61,3
Dell,Model 165,AMD Ryzen 7,8,2048,17.0,NVIDIA RTX 3060,Windows 11,2.63,4.0,2182.92,3
Razer,Model 166,AMD Ryzen 9,32,512,13.3,NVIDIA GTX 1650,Windows 11,2.89,13.7,2492.01,2
MSI,Model 167,Intel i7,32,512,14.0,NVIDIA GTX 1650,Windows 11,2.87,8.7,2343.02,2
MSI,Model 168,Intel i9,32,1024,13.3,NVIDIA RTX 3070,macOS,2.27,11.9,2731.49,3
Acer,Model 169,AMD Ryzen 9,16,2048,13.3,Intel UHD,Windows 11,3.03,4.7,1417.44,2
Razer,Model 170,AMD Ryzen 5,8,2048,14.0,NVIDIA RTX 3060,Linux,2.09,11.0,2204.17,1
Asus,Model 171,AMD Ryzen 7,32,1024,13.3,NVIDIA RTX 3070,Windows 10,1.31,5.8,1942.83,1
Apple,Model 172,Intel i7,16,1024,13.3,NVIDIA RTX 3070,macOS,2.41,8.3,2819.13,3
Lenovo,Model 173,Intel i9,8,256,14.0,NVIDIA GTX 1650,Windows 11,3.38,3.2,1651.37,3
Razer,Model 174,AMD Ryzen 9,64,256,15.6,NVIDIA RTX 3060,macOS,2.98,4.8,2661.7,1
Acer,Model 175,AMD Ryzen 9,16,512,14.0,Intel UHD,Windows 11,2.45,4.1,1377.38,1
Apple,Model 176,Intel i7,8,512,13.3,NVIDIA GTX 1650,macOS,2.62,5.9,2297.45,3
Apple,Model 177,AMD Ryzen 5,16,512,17.0,NVIDIA RTX 3070,Windows 11,3.33,4.2,2647.63,1
Dell,Model 178,Intel i7,8,512,17.0,NVIDIA GTX 1650,Windows 10,2.07,11.3,1682.8,1
Apple,Model 179,AMD Ryzen 9,8,256,14.0,NVIDIA GTX 1650,Windows 11,1.83,3.3,2721.73,3
Asus,Model 180,Intel i5,64,2048,17.0,AMD Radeon,Linux,3.44,10.4,2151.45,2
MSI,Model 181,Intel i9,16,512,13.3,NVIDIA GTX 1650,macOS,3.16,4.7,1791.33,1
Acer,Model 182,Intel i7,32,2048,13.3,NVIDIA GTX 1650,macOS,1.81,14.3,1790.67,2
Apple,Model 183,AMD Ryzen 9,64,512,14.0,NVIDIA RTX 3060,Linux,2.16,14.2,3147.77,2
Dell,Model 184,AMD Ryzen 5,64,1024,13.3,NVIDIA GTX 1650,Linux,2.04,5.7,1906.98,1
Asus,Model 185,AMD Ryzen 9,8,512,15.6,Intel UHD,Windows 10,1.37,10.4,1691.1,2
HP,Model 186,AMD Ryzen 5,32,512,13.3,NVIDIA RTX 3070,macOS,3.39,3.3,2038.69,3
MSI,Model 187,Intel i7,16,512,14.0,NVIDIA RTX 3060,Windows 10,2.01,14.2,2161.48,1
MSI,Model 188,AMD Ryzen 5,32,256,15.6,NVIDIA GTX 1650,macOS,3.19,9.3,1696.28,1
Acer,Model 189,AMD Ryzen 7,32,1024,15.6,Intel UHD,macOS,1.47,3.5,1268.07,2
MSI,Model 190,AMD Ryzen 7,32,512,17.0,NVIDIA RTX 3070,Windows 10,2.37,7.1,2272.52,1
Apple,Model 191,AMD Ryzen 7,32,512,13.3,NVIDIA RTX 3060,macOS,1.06,3.9,2648.36,1
Dell,Model 192,Intel i5,32,2048,14.0,Intel UHD,macOS,2.91,7.7,1754.41,2
MSI,Model 193,Intel i7,8,1024,17.0,NVIDIA GTX 1650,Windows 10,2.45,11.0,1867.74,2
MSI,Model 194,AMD Ryzen 9,8,512,17.0,AMD Radeon,Windows 11,2.56,8.6,1888.38,1
HP,Model 195,AMD Ryzen 9,64,2048,13.3,AMD Radeon,Windows 10,1.13,7.6,2316.8,1
HP,Model 196,Intel i5,8,2048,13.3,NVIDIA RTX 3060,macOS,1.53,4.4,1764.42,3
Lenovo,Model 197,AMD Ryzen 5,64,256,14.0,Intel UHD,Linux,1.19,5.9,1749.36,3
Asus,Model 198,Intel i5,64,2048,17.0,NVIDIA RTX 3070,Windows 11,1.72,4.2,2367.13,1
Apple,Model 199,AMD Ryzen 5,16,512,14.0,Intel UHD,Linux,2.57,12.7,1856.05,1
MSI,Model 200,AMD Ryzen 5,32,256,17.0,AMD Radeon,Windows 11,2.42,4.6,1965.27,3
Razer,Model 201,Intel i9,8,256,17.0,NVIDIA RTX 3060,Linux,2.53,10.1,2556.82,2
MSI,Model 202,AMD Ryzen 9,16,512,17.0,NVIDIA GTX 1650,Windows 11,2.37,7.1,2123.96,1
Dell,Model 203,AMD Ryzen 7,8,1024,13.3,Intel UHD,Windows 10,1.68,5.7,1764.97,3
Lenovo,Model 204,AMD Ryzen 5,64,2048,17.0,AMD Radeon,Windows 11,1.61,10.7,2003.65,3
Asus,Model 205,Intel i9,8,256,17.0,NVIDIA RTX 3070,Windows 11,1.34,8.5,1930.63,1
Razer,Model 206,AMD Ryzen 9,32,1024,17.0,NVIDIA RTX 3060,Windows 11,3.12,7.8,2624.06,1
Lenovo,Model 207,AMD Ryzen 7,64,512,15.6,NVIDIA GTX 1650,macOS,2.54,10.1,2132.77,3
Acer,Model 208,AMD Ryzen 5,64,2048,13.3,Intel UHD,Linux,1.47,8.9,1842.16,1
Asus,Model 209,AMD Ryzen 5,16,2048,15.6,NVIDIA RTX 3070,Windows 10,1.44,6.6,2696.51,2
MSI,Model 210,Intel i5,32,256,13.3,NVIDIA GTX 1650,Linux,3.18,9.7,1819.33,1
MSI,Model 211,Intel i5,64,2048,14.0,AMD Radeon,Linux,2.86,11.0,2575.13,3
Asus,Model 212,AMD Ryzen 9,32,2048,15.6,AMD Radeon,Windows 10,2.65,3.3,2166.8,3
MSI,Model 213,AMD Ryzen 7,8,2048,14.0,NVIDIA RTX 3070,macOS,2.02,8.6,2452.11,1
Apple,Model 214,AMD Ryzen 5,32,2048,17.0,AMD Radeon,Windows 11,1.65,3.7,2550.41,3
Asus,Model 215,AMD Ryzen 9,64,512,14.0,NVIDIA RTX 3060,macOS,3.45,5.2,2302.65,2
Lenovo,Model 216,AMD Ryzen 9,16,1024,14.0,NVIDIA RTX 3070,macOS,2.99,9.7,1876.58,1
Asus,Model 217,Intel i7,64,512,14.0,AMD Radeon,Windows 11,1.75,13.4,1969.28,1
Razer,Model 218,Intel i5,32,512,14.0,Intel UHD,Linux,3.12,13.6,1974.2,3
MSI,Model 219,AMD Ryzen 7,32,256,13.3,AMD Radeon,Windows 11,2.9,3.8,1843.68,2
Apple,Model 220,AMD Ryzen 5,64,2048,15.6,NVIDIA RTX 3060,Windows 10,1.74,8.0,3333.8,1
Apple,Model 221,AMD Ryzen 9,32,512,13.3,NVIDIA GTX 1650,Windows 11,2.07,10.0,2340.91,3
Acer,Model 222,AMD Ryzen 5,8,2048,13.3,NVIDIA GTX 1650,Linux,1.46,4.8,1508.74,1
Lenovo,Model 223,Intel i7,64,512,13.3,AMD Radeon,macOS,1.28,12.2,1774.69,2
HP,Model 224,AMD Ryzen 7,16,512,14.0,NVIDIA GTX 1650,macOS,2.81,11.9,1685.11,3
HP,Model 225,AMD Ryzen 9,64,256,13.3,AMD Radeon,Windows 11,1.67,13.8,2224.94,1
Asus,Model 226,AMD Ryzen 5,8,1024,15.6,NVIDIA RTX 3060,Windows 10,3.05,3.1,1718.74,3
Acer,Model 227,Intel i5,8,1024,13.3,NVIDIA GTX 1650,Linux,3.49,5.6,1121.34,3
Dell,Model 228,Intel i7,8,512,17.0,Intel UHD,macOS,1.19,12.9,1599.4,2
Asus,Model 229,AMD Ryzen 7,8,256,14.0,AMD Radeon,Windows 11,2.18,11.0,1592.14,2
Acer,Model 230,Intel i7,8,2048,17.0,NVIDIA GTX 1650,Windows 10,3.01,13.7,1591.75,1
Lenovo,Model 231,Intel i5,16,2048,15.6,NVIDIA RTX 3060,Windows 10,2.97,3.7,1871.37,3
Lenovo,Model 232,AMD Ryzen 7,32,512,15.6,NVIDIA RTX 3060,macOS,2.9,10.2,1993.64,3
Lenovo,Model 233,Intel i7,8,1024,15.6,Intel UHD,macOS,1.87,9.8,1509.06,3
Lenovo,Model 234,Intel i9,8,256,15.6,NVIDIA RTX 3060,Linux,2.13,3.4,2056.79,1
Lenovo,Model 235,Intel i5,64,1024,13.3,NVIDIA RTX 3060,Windows 10,2.49,9.2,2145.09,2
Acer,Model 236,Intel i5,16,2048,14.0,NVIDIA GTX 1650,Linux,3.43,10.3,1208.73,2
Acer,Model 237,Intel i5,16,1024,15.6,AMD Radeon,Windows 10,1.82,5.3,1433.27,3
Apple,Model 238,Intel i9,32,2048,17.0,NVIDIA RTX 3070,Windows 10,3.31,6.3,3021.03,1
Razer,Model 239,Intel i9,16,256,15.6,NVIDIA RTX 3060,Windows 11,1.67,10.7,2754.97,3
HP,Model 240,AMD Ryzen 5,64,256,14.0,NVIDIA RTX 3060,macOS,3.47,8.6,1931.72,2
